"","1","2","3","4","5","6","7","8","9"
"1",204,203,79,10,256,159,1,193,73
"2",185,174,37,3,257,208,7,126,48
"3",175,237,75,4,248,129,1,223,55
"4",164,282,94,3,180,27,0,286,74
"5",19,205,329,99,23,0,47,155,270
"6",0,28,233,308,0,0,298,11,232
"7",0,0,38,402,0,0,649,1,57
"8",0,0,42,392,0,0,656,0,57
"9",0,12,184,336,0,0,347,18,213
"10",15,81,301,167,9,0,134,119,321
"11",134,206,190,26,106,33,28,218,169
"12",202,245,79,13,197,106,8,202,95
